"SIC4","NAICS6","SIC_Description","NAICS_Description","Establishments","Employees","Annual_Payroll","Est_weight","Emp_weight","Pay_weight"
"2865","325192","Cyclic crudes & intermediates","Cyclic Crude and Intermediate Manufacturing",37,3754,256253907,0.1,0.07,0.07
"2869","325110","Industrial organic chemicals, n.e.c.","Petrochemical Manufacturing",173,40565,2666501765,0.09,0.26,0.28
"2869","325120","Industrial organic chemicals, n.e.c.","Industrial Gas Manufacturing",623,26382,1675887960,0.32,0.17,0.18
"2869","325188","Industrial organic chemicals, n.e.c.","All Other Basic Inorganic Chemical Manufacturing",648,44387,2405974928,0.33,0.28,0.25
"2869","325193","Industrial organic chemicals, n.e.c.","Ethyl Alcohol Manufacturing",51,2454,135606040,0.03,0.02,0.01
"2869","325199","Industrial organic chemicals, n.e.c.","All Other Basic Organic Chemical Manufacturing",458,45227,2622420264,0.23,0.28,0.28
"2873","325311","Nitrogenous fertilizers","Nitrogenous Fertilizer Manufacturing",226,11007,548856515,1,1,1
"2874","325312","Phosphatic fertilizers","Phosphatic Fertilizer Manufacturing",101,9475,430039261,1,1,1
"2875","325314","Fertilizers, mixing only","Fertilizer (Mixing Only) Manufacturing",606,9499,286735467,1,1,1
"2879","325320","Agricultural chemicals, n.e.c.","Pesticide and Other Agricultural Chemical Manufacturing",320,21531,1181781579,1,1,1
"2891","325520","Adhesives & sealants","Adhesive Manufacturing",776,24730,1104700875,1,1,1
"2892","325920","Explosives","Explosives Manufacturing",121,7740,295983500,1,1,1
"2893","325910","Printing ink","Printing Ink Manufacturing",625,15125,666249897,1,1,1
"2895","325182","Carbon black","Carbon Black Manufacturing",42,2342,127514979,1,1,1
"2899","311942","Chemical preparations, n.e.c.","Spice and Extract Manufacturing",438,14433,573380233,0.12,0.09,0.08
"2899","325199","Chemical preparations, n.e.c.","All Other Basic Organic Chemical Manufacturing",458,45227,2622420264,0.13,0.29,0.35
"2899","325510","Chemical preparations, n.e.c.","Paint and Coating Manufacturing",1370,52381,2220562796,0.38,0.34,0.3
"2899","325998","Chemical preparations, n.e.c.","All Other Miscellaneous Chemical Product and Preparation Manufacturing",1293,42261,2058952407,0.36,0.27,0.28
"2911","324110","Petroleum refining","Petroleum Refineries",673,78766,5285434475,1,1,1
"2951","324121","Asphalt paving mixtures & blocks","Asphalt Paving Mixture and Block Manufacturing",914,14943,616943356,1,1,1
"2952","324122","Asphalt felts & coatings","Asphalt Shingle and Coating Materials Manufacturing",292,13993,551193232,1,1,1
"2992","324191","Lubricating oils & greases","Petroleum Lubricating Oil and Grease Manufacturing",458,11110,477985483,1,1,1
"2999","324199","Petroleum & coal products, n.e.c.","All Other Petroleum and Coal Products Manufacturing",100,6930,324185854,1,1,1
"3011","326211","Tires & inner tubes","Tire Manufacturing (except Retreading)",160,77196,3635307176,1,1,1
"3021","316211","Rubber & plastics footwear","Rubber and Plastics Footwear Manufacturing",47,4851,119801254,1,1,1
"3052","326220","Rubber & plastics hose & belting","Rubber and Plastics Hoses and Belting Manufacturing",315,29705,956515450,1,1,1
"3053","339991","Gaskets, packing & sealing devices","Gasket, Packing, and Sealing Device Manufacturing",754,43000,1418250212,1,1,1
"3061","326291","Mechanical rubber goods","Rubber Product Manufacturing for Mechanical Use",634,54962,1697626639,1,1,1
"3069","313320","Fabricated rubber products, n.e.c.","Fabric Coating Mills",320,13418,464502346,0.26,0.22,0.22
"3069","326192","Fabricated rubber products, n.e.c.","Resilient Floor Covering Manufacturing",75,9066,423670221,0.06,0.15,0.2
"3069","326299","Fabricated rubber products, n.e.c.","All Other Rubber Product Manufacturing",819,38838,1190148447,0.67,0.63,0.57
"3081","326113","Unsupported plastics film & sheet","Unsupported Plastics Film and Sheet (except Packaging) Manufacturing",805,60424,2234257802,1,1,1
"3082","326121","Unsupported plastics profile shapes","Unsupported Plastics Profile Shape Manufacturing",696,34979,1179582250,1,1,1
"3083","326130","Laminated plastics plate & sheet","Laminated Plastics Plate, Sheet, and Shape Manufacturing",494,26485,895213646,1,1,1
"3084","326122","Plastics pipe","Plastics Pipe and Pipe Fitting Manufacturing",697,32595,978526144,1,1,1
"3085","326160","Plastics bottles","Plastics Bottle Manufacturing",472,35337,1069758333,1,1,1
"3086","326140","Plastics foam products","Polystyrene Foam Product Manufacturing",584,28413,834410470,0.48,0.45,0.45
"3086","326150","Plastics foam products","Urethane and Other Foam Product (except Polystyrene) Manufacturing",639,34618,1010483814,0.52,0.55,0.55
"3087","325991","Custom compound purchased resins","Custom Compounding of Purchased Resins",528,26006,929932165,1,1,1
"3088","326191","Plastics plumbing fixtures","Plastics Plumbing Fixture Manufacturing",592,20761,504871307,1,1,1
"3089","326122","Plastics products, n.e.c.","Plastics Pipe and Pipe Fitting Manufacturing",697,32595,978526144,0.07,0.07,0.08
"3089","326199","Plastics products, n.e.c.","All Other Plastics Product Manufacturing",8137,387583,10965788208,0.85,0.87,0.88
"3089","335121","Plastics products, n.e.c.","Residential Electric Lighting Fixture Manufacturing",710,23530,580708086,0.07,0.05,0.05
"3111","316110","Leather tanning & finishing","Leather and Hide Tanning and Finishing",338,13848,417603966,1,1,1
"3131","316999","Footwear cut stock & findings","All Other Leather Good Manufacturing",530,14424,280744073,0.17,0.23,0.2
"3131","321999","Footwear cut stock & findings","All Other Miscellaneous Wood Product Manufacturing",2199,37199,816494291,0.72,0.59,0.57
"3131","339993","Footwear cut stock & findings","Fastener, Button, Needle, and Pin Manufacturing",333,11166,330552781,0.11,0.18,0.23
"3142","316212","House slippers","House Slipper Manufacturing",25,2318,52855089,1,1,1
"3143","316213","Men’s footwear, except athletic","Men's Footwear (except Athletic) Manufacturing",191,19953,453144929,1,1,1
"3144","316214","Women’s footwear, except athletic","Women's Footwear (except Athletic) Manufacturing",99,10096,204322522,1,1,1
"3149","316219","Footwear, except rubber, n.e.c.","Other Footwear Manufacturing",102,5733,131458021,1,1,1
"3151","315992","Leather gloves & mittens","Glove and Mitten Manufacturing",126,6533,131573131,1,1,1
"3161","316991","Luggage","Luggage Manufacturing",286,10312,255028230,1,1,1
"3171","316992","Women’s handbags & purses","Women's Handbag and Purse Manufacturing",165,3106,96517916,1,1,1
"3172","316993","Personal leather goods, n.e.c.","Personal Leather Good (except Women's Handbag and Purse) Manufacturing",172,4020,75542550,1,1,1
"3199","316999","Leather goods, n.e.c.","All Other Leather Good Manufacturing",530,14424,280744073,1,1,1
"3211","327211","Flat glass","Flat Glass Manufacturing",202,16816,688807337,1,1,1
"3221","327213","Glass containers","Glass Container Manufacturing",119,26298,1091879571,1,1,1
"3229","327212","Pressed & blown glass, n.e.c.","Other Pressed and Blown Glass and Glassware Manufacturing",521,42144,1682679319,1,1,1
"3231","327215","Products of purchased glass","Glass Product Manufacturing Made of Purchased Glass",1650,60108,1847967404,1,1,1
"3241","327310","Cement, hydraulic","Cement Manufacturing",182,16199,766229106,1,1,1
"3251","327121","Brick & structural clay tile","Brick and Structural Clay Tile Manufacturing",183,12885,367087203,1,1,1
"3253","327122","Ceramic wall & floor tile","Ceramic Wall and Floor Tile Manufacturing",178,8706,233152094,1,1,1
"3255","327124","Clay refractories","Clay Refractory Manufacturing",149,7878,287190063,1,1,1
"3259","327123","Structural clay products, n.e.c.","Other Structural Clay Product Manufacturing",57,1888,54781403,1,1,1
"3261","327111","Vitreous plumbing fixtures","Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing",73,9740,310456033,1,1,1
"3262","327112","Vitreous china food utensils","Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",1638,24269,512418522,1,1,1
"3263","327112","Fine earthenware food utensils","Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",1638,24269,512418522,1,1,1
"3264","327113","Porcelain electrical supplies","Porcelain Electrical Supply Manufacturing",129,9417,315913100,1,1,1
"3269","327112","Pottery products, n.e.c.","Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",1638,24269,512418522,1,1,1
"3271","327331","Concrete brick & block","Concrete Block and Brick Manufacturing",851,19140,635690115,1,1,1
"3272","327332","Concrete products, n.e.c.","Concrete Pipe Manufacturing",369,13135,433676119,0.11,0.17,0.18
"3272","327390","Concrete products, n.e.c.","Other Concrete Product Manufacturing",2657,53956,1556352289,0.76,0.69,0.66
"3272","327999","Concrete products, n.e.c.","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing",466,11338,369193533,0.13,0.14,0.16
"3273","327320","Readygmixed concrete","Ready-Mix Concrete Manufacturing",5211,107279,3639787217,1,1,1
"3274","327410","Lime","Lime Manufacturing",84,4704,180179701,1,1,1
"3275","327420","Gypsum products","Gypsum Product Manufacturing",347,16367,613021816,1,1,1
"3281","327991","Cut stone & stone products","Cut Stone and Stone Product Manufacturing",1244,15474,400877413,1,1,1
"3291","327910","Abrasive products","Abrasive Product Manufacturing",368,16925,587035389,0.12,0.19,0.21
"3291","332999","Abrasive products","All Other Miscellaneous Fabricated Metal Product Manufacturing",2654,70365,2200451230,0.88,0.81,0.79
"3292","327999","Asbestos products","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing",466,11338,369193533,0.59,0.2,0.17
"3292","336340","Asbestos products","Motor Vehicle Brake System Manufacturing",330,44281,1754404460,0.41,0.8,0.83
"3295","327992","Minerals, ground or treated","Ground or Treated Mineral and Earth Manufacturing",128,4639,190497432,1,1,1
"3296","327993","Mineral wool","Mineral Wool Manufacturing",308,22068,969682552,1,1,1
"3297","327125","Nonclay refractories","Nonclay Refractory Manufacturing",192,9290,369133403,1,1,1
"3299","327112","Nonmetallic mineral products, n.e.c.","Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",1638,24269,512418522,0.67,0.47,0.34
"3299","327420","Nonmetallic mineral products, n.e.c.","Gypsum Product Manufacturing",347,16367,613021816,0.14,0.31,0.41
"3299","327999","Nonmetallic mineral products, n.e.c.","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing",466,11338,369193533,0.19,0.22,0.25
"3312","324199","Blast furnaces & steel mills","All Other Petroleum and Coal Products Manufacturing",100,6930,324185854,0.18,0.05,0.04
"3312","331111","Blast furnaces & steel mills","Iron and Steel Mills",446,136289,7136101597,0.82,0.95,0.96
"3313","331112","Electrometallurgical products","Electrometallurgical Ferroalloy Product Manufacturing",45,5433,233326523,0.15,0.36,0.38
"3313","331492","Electrometallurgical products","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",256,9682,378887464,0.85,0.64,0.62
"3315","331222","Steel wire & related products","Steel Wire Drawing",160,10806,385593087,0.1,0.15,0.18
"3315","332618","Steel wire & related products","Other Fabricated Wire Product Manufacturing",1477,60983,1781385086,0.9,0.85,0.82
"3316","331221","Cold finishing of steel shapes","Rolled Steel Shape Manufacturing",508,31491,1362951683,1,1,1
"3317","331210","Steel pipe & tubes","Iron and Steel Pipe and Tube Manufacturing from Purchased Steel",325,28352,1114777888,1,1,1
"3321","331511","Gray iron foundries","Iron Foundries",633,85199,3365673518,1,1,1
"3322","331511","Malleable iron foundries","Iron Foundries",633,85199,3365673518,1,1,1
"3324","331512","Steel investment foundries","Steel Investment Foundries",143,16658,529907695,1,1,1
"3325","331513","Steel foundries, n.e.c.","Steel Foundries (except Investment)",320,27711,915404241,1,1,1
"3331","331411","Primary copper","Primary Smelting and Refining of Copper",13,4049,179804015,1,1,1
"3334","331312","Primary aluminum","Primary Aluminum Production",56,20161,979280921,1,1,1
"3339","331419","Primary nonferrous metals, n.e.c.","Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)",118,12544,582558330,1,1,1
"3341","331314","Secondary nonferrous metals","Secondary Smelting and Alloying of Aluminum",174,8114,293603731,0.36,0.39,0.37
"3341","331423","Secondary nonferrous metals","Secondary Smelting, Refining, and Alloying of Copper",49,2973,123633707,0.1,0.14,0.16
"3341","331492","Secondary nonferrous metals","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",256,9682,378887464,0.53,0.47,0.48
"3351","331421","Copper rolling & drawing","Copper Rolling, Drawing, and Extruding",187,22946,897432924,1,1,1
"3353","331315","Aluminum sheet, plate, & foil","Aluminum Sheet, Plate, and Foil Manufacturing",119,23825,1126229915,0.12,0.44,0.54
"3353","332996","Aluminum sheet, plate, & foil","Fabricated Pipe and Pipe Fitting Manufacturing",842,30375,976103923,0.88,0.56,0.46
"3354","331316","Aluminum extruded products","Aluminum Extruded Product Manufacturing",242,30346,1022787226,1,1,1
"3355","331319","Aluminum rolling & drawing, n.e.c.","Other Aluminum Rolling and Drawing",134,13294,658445215,1,1,1
"3356","331491","Nonferrous rolling & drawing, n.e.c.","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",263,18733,782942464,1,1,1
"3357","331319","Nonferrous wire drawing & insulating","Other Aluminum Rolling and Drawing",134,13294,658445215,0.16,0.15,0.17
"3357","331422","Nonferrous wire drawing & insulating","Copper Wire (except Mechanical) Drawing",163,32483,1339105011,0.19,0.36,0.36
"3357","331491","Nonferrous wire drawing & insulating","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",263,18733,782942464,0.31,0.21,0.21
"3357","335921","Nonferrous wire drawing & insulating","Fiber Optic Cable Manufacturing",109,12380,473235839,0.13,0.14,0.13
"3357","335929","Nonferrous wire drawing & insulating","Other Communication and Energy Wire Manufacturing",187,14101,513968516,0.22,0.15,0.14
"3363","331521","Aluminum diegcastings","Aluminum Die-Casting Foundries",358,37689,1252231971,1,1,1
"3364","331522","Nonferrous diegcasting, except aluminum","Nonferrous (except Aluminum) Die-Casting Foundries",229,11461,354179153,1,1,1
"3365","331524","Aluminum foundries","Aluminum Foundries (except Die-Casting)",640,25832,790124539,1,1,1
"3366","331525","Copper foundries","Copper Foundries (except Die-Casting)",334,9433,292359699,1,1,1
"3369","331528","Nonferrous foundries, n.e.c.","Other Nonferrous Foundries (except Die-Casting)",191,6149,209475438,1,1,1
"3398","332811","Metal heat treating","Metal Heat Treating",755,19621,695363332,1,1,1
"3399","331111","Primary metal products, n.e.c.","Iron and Steel Mills",446,136289,7136101597,0.19,0.63,0.73
"3399","331314","Primary metal products, n.e.c.","Secondary Smelting and Alloying of Aluminum",174,8114,293603731,0.07,0.04,0.03
"3399","331423","Primary metal products, n.e.c.","Secondary Smelting, Refining, and Alloying of Copper",49,2973,123633707,0.02,0.01,0.01
"3399","331492","Primary metal products, n.e.c.","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",256,9682,378887464,0.11,0.04,0.04
"3399","332618","Primary metal products, n.e.c.","Other Fabricated Wire Product Manufacturing",1477,60983,1781385086,0.61,0.28,0.18
"3411","332431","Metal cans","Metal Can Manufacturing",302,29245,1339797228,1,1,1
"3412","332439","Metal barrels, drums, & pails","Other Metal Container Manufacturing",943,29499,888946655,1,1,1
"3421","332211","Cutlery","Cutlery and Flatware (except Precious) Manufacturing",166,12888,641927845,1,1,1
"3423","332212","Hand & edge tools, n.e.c.","Hand and Edge Tool Manufacturing",1311,52904,1824790669,1,1,1
"3425","332213","Hand saws & saw blades","Saw Blade and Handsaw Manufacturing",184,8488,280005069,1,1,1
"3429","332439","Hardware, n.e.c.","Other Metal Container Manufacturing",943,29499,888946655,0.44,0.28,0.26
"3429","332510","Hardware, n.e.c.","Hardware Manufacturing",782,48064,1528873345,0.36,0.45,0.45
"3429","332919","Hardware, n.e.c.","Other Metal Valve and Pipe Fitting Manufacturing",418,28890,982569315,0.2,0.27,0.29
"3431","332998","Metal sanitary ware","Enameled Iron and Metal Sanitary Ware Manufacturing",108,13945,481907231,1,1,1
"3432","332913","Plumbing fittings & brass goods","Plumbing Fixture Fitting and Trim Manufacturing",182,18838,674139903,0.06,0.21,0.23
"3432","332999","Plumbing fittings & brass goods","All Other Miscellaneous Fabricated Metal Product Manufacturing",2654,70365,2200451230,0.94,0.79,0.77
"3433","333414","Heating equipment, except electric","Heating Equipment (except Warm Air Furnaces) Manufacturing",414,23437,793212262,1,1,1
"3441","332312","Fabricated structural metal","Fabricated Structural Metal Manufacturing",3204,89095,2991707136,1,1,1
"3442","332321","Metal doors, sash, & trim","Metal Window and Door Manufacturing",1667,84204,2293745093,1,1,1
"3443","332313","Fabricated plate work, boiler shops","Plate Work Manufacturing",1810,50835,1764867811,0.46,0.22,0.23
"3443","332410","Fabricated plate work, boiler shops","Power Boiler and Heat Exchanger Manufacturing",330,24082,934211686,0.08,0.11,0.12
"3443","332420","Fabricated plate work, boiler shops","Metal Tank (Heavy Gauge) Manufacturing",681,28472,999181438,0.17,0.12,0.13
"3443","333415","Fabricated plate work, boiler shops","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing",1145,124517,4098374566,0.29,0.55,0.53
"3444","332322","Sheet metal work","Sheet Metal Work Manufacturing",3996,101147,3244269478,0.81,0.77,0.78
"3444","332439","Sheet metal work","Other Metal Container Manufacturing",943,29499,888946655,0.19,0.23,0.22
"3446","332323","Architectural metal work","Ornamental and Architectural Metal Work Manufacturing",2642,37665,1137379310,1,1,1
"3448","332311","Prefabricated metal buildings","Prefabricated Metal Building and Component Manufacturing",847,30886,966334558,1,1,1
"3449","332114","Miscellaneous metal work","Custom Roll Forming",133,4864,168521015,0.02,0.02,0.03
"3449","332312","Miscellaneous metal work","Fabricated Structural Metal Manufacturing",3204,89095,2991707136,0.42,0.41,0.45
"3449","332321","Miscellaneous metal work","Metal Window and Door Manufacturing",1667,84204,2293745093,0.22,0.39,0.35
"3449","332323","Miscellaneous metal work","Ornamental and Architectural Metal Work Manufacturing",2642,37665,1137379310,0.35,0.17,0.17
"3451","332721","Screw machine products","Precision Turned Product Manufacturing",1863,55012,1844277448,1,1,1
"3452","332722","Bolts, nuts, rivets, & washers","Bolt, Nut, Screw, Rivet, and Washer Manufacturing",1063,55301,2146835513,1,1,1
"3462","332111","Iron & steel forgings","Iron and Steel Forging",478,31109,1233096448,1,1,1
"3463","332112","Nonferrous forgings","Nonferrous Forging",112,9381,412523410,1,1,1
"3465","336370","Automotive stampings","Motor Vehicle Metal Stamping",809,115957,5280854677,1,1,1
"3466","332115","Crowns & closures","Crown and Closure Manufacturing",43,4879,194605522,1,1,1
"3469","332116","Metal stampings, n.e.c.","Metal Stamping",1847,71076,2431098465,0.94,0.9,0.91
"3469","332214","Metal stampings, n.e.c.","Kitchen Utensil, Pot, and Pan Manufacturing",109,7711,242906505,0.06,0.1,0.09
"3471","332813","Plating & polishing","Electroplating, Plating, Polishing, Anodizing, and Coloring",4509,97974,2891502354,1,1,1
"3479","332812","Metal coating & allied services","Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",2404,53568,1617672963,0.41,0.48,0.51
"3479","339911","Metal coating & allied services","Jewelry (except Costume) Manufacturing",2332,40693,1137525330,0.39,0.37,0.36
"3479","339912","Metal coating & allied services","Silverware and Hollowware Manufacturing",153,4363,115537452,0.03,0.04,0.04
"3479","339914","Metal coating & allied services","Costume Jewelry and Novelty Manufacturing",1036,12821,291392086,0.17,0.12,0.09
"3482","332992","Small arms ammunition","Small Arms Ammunition Manufacturing",134,9384,367977782,1,1,1
"3483","332993","Ammunition, except small arms, n.e.c.","Ammunition (except Small Arms) Manufacturing",73,32931,1468934526,1,1,1
"3484","332994","Small arms","Small Arms Manufacturing",240,11145,356704589,1,1,1
"3489","332995","Ordnance & accessories, n.e.c.","Other Ordnance and Accessories Manufacturing",55,10341,470769390,1,1,1
"3491","332911","Industrial valves","Industrial Valve Manufacturing",449,26967,1107684501,1,1,1
"3492","332912","Fluid power valves & hose fittings","Fluid Power Valve and Hose Fitting Manufacturing",652,43439,1707406635,1,1,1
"3493","332611","Steel springs, except wire","Spring (Heavy Gauge) Manufacturing",153,5186,169556043,1,1,1
"3494","332919","Valves & pipe fittings, n.e.c.","Other Metal Valve and Pipe Fitting Manufacturing",418,28890,982569315,0.14,0.29,0.31
"3494","332999","Valves & pipe fittings, n.e.c.","All Other Miscellaneous Fabricated Metal Product Manufacturing",2654,70365,2200451230,0.86,0.71,0.69
"3495","332612","Wire springs","Spring (Light Gauge) Manufacturing",365,13897,488748522,0.64,0.59,0.58
"3495","334518","Wire springs","Watch, Clock, and Part Manufacturing",207,9843,349544176,0.36,0.41,0.42
"3496","332618","Miscellaneous fabricated wire products","Other Fabricated Wire Product Manufacturing",1477,60983,1781385086,1,1,1
"3497","322225","Metal foil & leaf","Laminated Aluminum Foil Manufacturing for Flexible Packaging Uses",27,2171,77632423,0.01,0.03,0.03
"3497","332999","Metal foil & leaf","All Other Miscellaneous Fabricated Metal Product Manufacturing",2654,70365,2200451230,0.99,0.97,0.97
"3498","332996","Fabricated pipe & fittings","Fabricated Pipe and Pipe Fitting Manufacturing",842,30375,976103923,1,1,1
"3499","332117","Fabricated metal products, n.e.c.","Powder Metallurgy Part Manufacturing",136,12449,422167058,0.02,0.04,0.05
"3499","332439","Fabricated metal products, n.e.c.","Other Metal Container Manufacturing",943,29499,888946655,0.11,0.1,0.1
"3499","332510","Fabricated metal products, n.e.c.","Hardware Manufacturing",782,48064,1528873345,0.09,0.16,0.17
"3499","332919","Fabricated metal products, n.e.c.","Other Metal Valve and Pipe Fitting Manufacturing",418,28890,982569315,0.05,0.1,0.11
"3499","332999","Fabricated metal products, n.e.c.","All Other Miscellaneous Fabricated Metal Product Manufacturing",2654,70365,2200451230,0.31,0.24,0.25
"3499","337215","Fabricated metal products, n.e.c.","Showcase, Partition, Shelving, and Locker Manufacturing",2565,91299,2512348550,0.3,0.31,0.28
"3499","339914","Fabricated metal products, n.e.c.","Costume Jewelry and Novelty Manufacturing",1036,12821,291392086,0.12,0.04,0.03
"3511","333611","Turbines & turbine generator sets","Turbine and Turbine Generator Set Units Manufacturing",168,24379,1314241299,1,1,1
"3519","333618","Internal combustion engines, n.e.c.","Other Engine Equipment Manufacturing",291,57457,2606492703,0.13,0.26,0.32
"3519","336399","Internal combustion engines, n.e.c.","All Other Motor Vehicle Parts Manufacturing",1921,165643,5462135527,0.87,0.74,0.68
"3523","332212","Farm machinery & equipment","Hand and Edge Tool Manufacturing",1311,52904,1824790669,0.2,0.26,0.25
"3523","332323","Farm machinery & equipment","Ornamental and Architectural Metal Work Manufacturing",2642,37665,1137379310,0.41,0.19,0.16
"3523","333111","Farm machinery & equipment","Farm Machinery and Equipment Manufacturing",1452,67434,2693874549,0.22,0.34,0.37
"3523","333922","Farm machinery & equipment","Conveyor and Conveying Equipment Manufacturing",1109,43171,1644526942,0.17,0.21,0.23
"3524","332212","Lawn & garden equipment","Hand and Edge Tool Manufacturing",1311,52904,1824790669,0.88,0.7,0.73
"3524","333112","Lawn & garden equipment","Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing",175,22287,658283390,0.12,0.3,0.27
"3531","333120","Construction machinery","Construction Machinery Manufacturing",831,77480,3519400811,0.54,0.61,0.66
"3531","333923","Construction machinery","Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",441,17858,651451251,0.29,0.14,0.12
"3531","336510","Construction machinery","Railroad Rolling Stock Manufacturing",274,31491,1189590711,0.18,0.25,0.22
"3532","333131","Mining machinery","Mining Machinery and Equipment Manufacturing",376,16531,647443197,1,1,1
"3533","333132","Oil field machinery","Oil and Gas Field Machinery and Equipment Manufacturing",965,44959,2011079669,1,1,1
"3534","333921","Elevators & moving stairways","Elevator and Moving Stairway Manufacturing",192,9417,368680523,1,1,1
"3535","333922","Conveyors & conveying equipment","Conveyor and Conveying Equipment Manufacturing",1109,43171,1644526942,1,1,1
"3536","333923","Hoists, cranes, & monorails","Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",441,17858,651451251,1,1,1
"3537","332439","Industrial trucks & tractors","Other Metal Container Manufacturing",943,29499,888946655,0.23,0.23,0.22
"3537","332999","Industrial trucks & tractors","All Other Miscellaneous Fabricated Metal Product Manufacturing",2654,70365,2200451230,0.65,0.54,0.54
"3537","333924","Industrial trucks & tractors","Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",478,29394,988378512,0.12,0.23,0.24
"3541","333512","Machine tools, metal cutting types","Machine Tool (Metal Cutting Types) Manufacturing",1504,45375,1968877043,1,1,1
"3542","333513","Machine tools, metal forming types","Machine Tool (Metal Forming Types) Manufacturing",661,19182,766824612,1,1,1
"3543","332997","Industrial patterns","Industrial Pattern Manufacturing",715,8057,329062313,1,1,1
"3544","333511","Special dies, tools, jigs, & fixtures","Industrial Mold Manufacturing",3162,57071,2455567375,0.35,0.35,0.37
"3544","333514","Special dies, tools, jigs, & fixtures","Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",5819,103997,4251286597,0.65,0.65,0.63
"3545","332212","Machine tool accessories","Hand and Edge Tool Manufacturing",1311,52904,1824790669,0.48,0.57,0.55
"3545","333515","Machine tool accessories","Cutting Tool and Machine Tool Accessory Manufacturing",1399,40387,1486341646,0.52,0.43,0.45
"3546","333991","Powergdriven handtools","Power-Driven Handtool Manufacturing",275,21663,783536356,1,1,1
"3547","333516","Rolling mill machinery","Rolling Mill Machinery and Equipment Manufacturing",152,5855,254885756,1,1,1
"3548","333992","Welding apparatus","Welding and Soldering Equipment Manufacturing",329,20907,928937440,0.4,0.35,0.43
"3548","335311","Welding apparatus","Power, Distribution, and Specialty Transformer Manufacturing",484,38209,1230041032,0.6,0.65,0.57
"3549","333518","Metalworking machinery, n.e.c.","Other Metalworking Machinery Manufacturing",388,13616,646257420,1,1,1
"3552","333292","Textile machinery","Textile Machinery Manufacturing",609,14999,513792257,1,1,1
"3553","333210","Woodworking machinery","Sawmill and Woodworking Machinery Manufacturing",393,11138,381392271,1,1,1
"3554","333291","Paper industries machinery","Paper Industry Machinery Manufacturing",415,21442,940159867,1,1,1
"3555","333293","Printing trades machinery","Printing Machinery and Equipment Manufacturing",670,23456,1050618569,1,1,1
"3556","333294","Food products machinery","Food Product Machinery Manufacturing",772,25621,978175252,1,1,1
"3559","333220","Special industry machinery, n.e.c.","Plastics and Rubber Industry Machinery Manufacturing",387,12689,525070794,0.11,0.09,0.09
"3559","333295","Special industry machinery, n.e.c.","Semiconductor Machinery Manufacturing",219,23410,1575681672,0.06,0.17,0.26
"3559","333298","Special industry machinery, n.e.c.","All Other Industrial Machinery Manufacturing",1296,37334,1558470619,0.35,0.27,0.25
"3559","333319","Special industry machinery, n.e.c.","Other Commercial and Service Industry Machinery Manufacturing",1773,66140,2453447609,0.48,0.47,0.4
"3561","333911","Pumps & pumping equipment","Pump and Pumping Equipment Manufacturing",655,34536,1472868809,1,1,1
"3562","332991","Ball & roller bearings","Ball and Roller Bearing Manufacturing",233,42197,1757426161,1,1,1
"3563","333912","Air & gas compressors","Air and Gas Compressor Manufacturing",391,26331,1090909536,1,1,1
"3564","333411","Blowers & fans","Air Purification Equipment Manufacturing",502,19773,630076244,0.67,0.56,0.55
"3564","333412","Blowers & fans","Industrial and Commercial Fan and Blower Manufacturing",251,15505,523794757,0.33,0.44,0.45
"3565","333993","Packaging machinery","Packaging Machinery Manufacturing",696,24618,1024397934,1,1,1
"3566","333612","Speed changers, drives, & gears","Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",339,17647,705242458,1,1,1
"3567","333994","Industrial furnaces & ovens","Industrial Process Furnace and Oven Manufacturing",529,19205,719371945,1,1,1
"3568","333613","Power transmission equipment, n.e.c.","Mechanical Power Transmission Equipment Manufacturing",359,21083,762359053,1,1,1
"3569","333999","General industrial machinery, n.e.c.","All Other Miscellaneous General Purpose Machinery Manufacturing",1796,50956,1972074906,1,1,1
"3571","334111","Electronic computers","Electronic Computer Manufacturing",915,146137,10418479036,1,1,1
"3572","334112","Computer storage devices","Computer Storage Device Manufacturing",256,42446,2593875140,1,1,1
